datetime,opt_type,short_opt_code,short_opt_volume,short_opt_price,short_opt_delta,long_opt_code,long_opt_volume,long_opt_price,long_opt_delta,profit_spread,money_ocupied,expected_return
2015-02-10 14:47:00,Call,10000001,10,0.1994,0.702,10000002,11,0.1582,0.6506,684.323,63634.0,0.0108
2015-02-11 09:41:00,Put,10000006,19,0.0414,-0.2746,10000042,10,0.141,-0.5355,678.2372,51834.0,0.0131
2015-02-11 11:27:00,Call,10000001,10,0.2063,0.7179,10000004,13,0.1036,0.5607,368.3185,62616.0,0.0059
2015-02-11 13:03:00,Call,10000001,10,0.2031,0.7124,10000004,13,0.0995,0.5542,622.8775,62083.0,0.01
2015-02-11 13:04:00,Call,10000001,10,0.2031,0.7124,10000005,14,0.0741,0.5004,816.7491,59522.0,0.0137
2015-02-11 13:05:00,Call,10000001,10,0.203,0.7142,10000005,14,0.0747,0.5026,694.154,59606.0,0.0116
2015-02-11 13:06:00,Call,10000001,10,0.203,0.7142,10000005,14,0.0733,0.5026,889.8656,59410.0,0.015
2015-02-11 13:07:00,Call,10000001,10,0.203,0.7152,10000005,14,0.0733,0.5037,875.5958,59410.0,0.0147
2015-02-11 13:08:00,Call,10000001,10,0.203,0.7161,10000005,14,0.0733,0.5047,861.4413,59410.0,0.0145
2015-02-11 13:09:00,Call,10000001,10,0.203,0.7152,10000004,13,0.0995,0.5575,589.4112,62083.0,0.0095
2015-02-11 13:10:00,Call,10000001,10,0.2068,0.717,10000004,13,0.0995,0.5596,954.9954,62083.0,0.0154
2015-02-11 13:11:00,Call,10000001,10,0.2068,0.7143,10000004,13,0.0995,0.5564,976.1503,62083.0,0.0157
2015-02-11 13:12:00,Call,10000001,10,0.2068,0.7143,10000004,13,0.0995,0.5564,975.9034,62083.0,0.0157
2015-02-11 13:13:00,Call,10000001,10,0.205,0.7134,10000004,13,0.0995,0.5553,802.9926,62083.0,0.0129
2015-02-11 13:14:00,Call,10000001,10,0.205,0.7143,10000004,13,0.0995,0.5564,795.4094,62083.0,0.0128
2015-02-11 13:16:00,Call,10000001,10,0.2031,0.7115,10000004,13,0.0995,0.5532,627.2301,62083.0,0.0101
2015-02-11 13:17:00,Call,10000001,10,0.2031,0.7106,10000005,14,0.075,0.4982,715.854,59648.0,0.012
2015-02-11 13:18:00,Call,10000001,10,0.2033,0.7125,10000005,14,0.075,0.5004,706.7535,59648.0,0.0118
2015-02-11 13:19:00,Call,10000001,10,0.2033,0.7125,10000005,14,0.075,0.5004,706.4679,59648.0,0.0118
2015-02-11 13:20:00,Call,10000001,10,0.2043,0.7125,10000005,14,0.075,0.5004,806.1823,59648.0,0.0135
2015-02-11 13:21:00,Call,10000001,10,0.2031,0.7116,10000005,14,0.0749,0.4993,714.2523,59634.0,0.012
2015-02-11 13:22:00,Call,10000001,10,0.2031,0.7116,10000005,14,0.0749,0.4993,713.9683,59634.0,0.012
2015-02-11 13:23:00,Call,10000001,10,0.2031,0.7134,10000005,14,0.0751,0.5014,657.0837,59662.0,0.011
2015-02-11 13:24:00,Call,10000001,10,0.2032,0.7162,10000003,12,0.128,0.6124,602.091,64508.0,0.0093
2015-02-11 13:25:00,Call,10000001,10,0.2032,0.7144,10000003,12,0.128,0.6103,606.7015,64508.0,0.0094
2015-02-11 13:26:00,Call,10000001,10,0.2032,0.7153,10000003,12,0.128,0.6114,604.0912,64508.0,0.0094
2015-02-11 13:27:00,Call,10000001,10,0.2033,0.7162,10000004,13,0.0998,0.5585,568.797,62122.0,0.0092
2015-02-11 13:28:00,Call,10000001,10,0.2034,0.7171,10000004,13,0.0998,0.5596,571.4971,62122.0,0.0092
2015-02-11 13:30:00,Call,10000001,10,0.2067,0.7208,10000005,14,0.0778,0.5101,527.3276,60040.0,0.0088
2015-02-11 13:31:00,Call,10000001,10,0.2067,0.7199,10000003,12,0.1332,0.6166,318.0998,65132.0,0.0049
2015-02-11 13:32:00,Call,10000001,10,0.2068,0.7199,10000003,12,0.1332,0.6166,327.9181,65132.0,0.005
2015-02-11 13:33:00,Call,10000001,10,0.2068,0.7208,10000005,14,0.079,0.5101,368.4286,60208.0,0.0061
2015-02-11 13:34:00,Call,10000001,10,0.2068,0.7208,10000005,14,0.079,0.5101,368.129,60208.0,0.0061
2015-02-11 13:35:00,Call,10000001,10,0.2068,0.7209,10000005,14,0.079,0.5101,367.8293,60208.0,0.0061
2015-02-11 13:37:00,Call,10000001,10,0.2069,0.7218,10000004,13,0.1023,0.5649,560.4651,62447.0,0.009
2015-02-11 13:39:00,Call,10000001,10,0.2068,0.7209,10000004,13,0.1026,0.5639,517.5103,62486.0,0.0083
2015-02-11 13:45:00,Call,10000001,10,0.2094,0.7246,10000003,12,0.1333,0.6218,564.2323,65144.0,0.0087
2015-02-11 13:53:00,Call,10000001,10,0.2146,0.7282,10000041,16,0.0595,0.4657,870.836,58668.0,0.0148
2015-02-11 13:54:00,Call,10000001,10,0.2144,0.7291,10000041,16,0.0595,0.4668,834.2588,58668.0,0.0142
2015-02-11 13:55:00,Call,10000001,10,0.2144,0.7264,10000041,16,0.0594,0.4635,898.9426,58652.0,0.0153
2015-02-11 13:56:00,Call,10000001,10,0.2141,0.7273,10000004,13,0.1055,0.5713,822.3551,62863.0,0.0131
2015-02-11 13:57:00,Call,10000001,10,0.2141,0.7273,10000004,13,0.1055,0.5713,822.0946,62863.0,0.0131
2015-02-11 13:58:00,Call,10000001,10,0.2141,0.7282,10000004,13,0.1055,0.5724,815.9835,62863.0,0.013
2015-02-11 14:00:00,Call,10000001,10,0.2141,0.7256,10000005,14,0.0801,0.5154,871.4568,60362.0,0.0144
2015-02-11 14:01:00,Call,10000001,10,0.2138,0.7292,10000005,14,0.0801,0.5197,791.4827,60362.0,0.0131
2015-02-11 14:03:00,Call,10000001,10,0.2141,0.7292,10000005,14,0.0801,0.5197,820.8558,60362.0,0.0136
2015-02-11 14:07:00,Call,10000001,10,0.215,0.7292,10000004,13,0.106,0.5734,832.8771,62928.0,0.0132
